ID,conf90,conf95,conf99,numberCys,numberCysCys,pattern1,pattern2,pattern3,pattern4,pattern5
g483.t1,1,1,1,1,0,0,1,1,1,1
g484.t1,1,1,1,0,0,0,1,1,0,1
g485.t1,1,1,1,1,1,0,1,1,0,1
g486.t1,1,1,1,1,1,0,1,1,0,1
g487.t1,1,1,1,0,0,0,1,1,0,1
g488.t1,1,1,1,0,1,0,1,1,0,1
g489.t1,1,1,1,1,0,0,1,1,0,1
g490.t1,1,1,1,0,0,0,1,1,0,1
g491.t1,1,1,1,1,0,0,1,1,1,1
g492.t1,1,1,1,1,0,1,1,1,0,1
g493.t1,1,1,1,1,0,0,1,1,1,1
g494.t1,1,1,1,0,0,0,1,1,1,1
g495.t1,1,1,1,1,0,0,1,1,1,1
g496.t1,1,1,1,1,0,0,1,1,1,1
g497.t1,1,1,1,1,0,0,1,1,1,1
g498.t1,1,1,1,1,0,0,1,1,0,1
g499.t1,1,1,1,0,1,0,1,1,0,1
g500.t1,1,1,1,0,0,0,1,1,1,1
g501.t1,1,1,1,0,0,1,1,1,1,1
g502.t1,1,1,1,0,0,0,1,1,0,1
g503.t1,1,1,1,0,0,0,1,1,0,1
g504.t1,1,1,1,1,0,0,1,0,0,1
g505.t1,0,0,0,1,0,1,1,1,1,1
g506.t1,0,0,0,1,0,0,1,1,1,1
g507.t1,1,1,1,1,0,0,1,1,0,1
g508.t1,1,1,1,1,0,0,1,1,0,1
g509.t1,1,1,1,1,0,0,1,1,0,1
g510.t1,1,1,1,1,0,0,1,1,0,1
g511.t1,0,0,0,1,0,0,1,1,1,1
g512.t1,1,1,1,0,0,0,1,1,0,1
g513.t1,1,1,1,0,0,0,1,1,0,1
g514.t1,0,0,0,1,1,0,1,1,0,1
g515.t1,1,1,1,1,0,0,1,1,0,1
g516.t1,1,1,1,1,0,0,1,1,1,1
g517.t1,0,0,0,1,0,1,1,1,1,1
g518.t1,1,1,1,0,0,0,1,1,1,1
g519.t1,1,1,1,1,1,0,1,1,0,1
g520.t1,1,1,1,1,0,0,1,1,0,1
g521.t1,1,1,1,1,0,0,1,1,0,1
g522.t1,1,1,1,0,0,0,1,1,1,1
g523.t1,0,0,0,1,0,0,1,1,1,1
g524.t1,1,1,1,1,0,0,1,1,0,1
g525.t1,1,1,1,1,0,0,1,1,0,1
g526.t1,1,1,1,1,1,0,1,1,0,1
g527.t1,1,1,1,0,0,0,1,1,0,1
g528.t1,1,1,1,1,0,0,1,1,0,1
g529.t1,1,1,1,1,0,1,1,1,0,1
g530.t1,1,1,1,1,0,0,1,1,0,1
